method,species,phenotype,description,all_time_s,corr_mean,corr_std,mae_mean,mae_std,mse_mean,mse_std,r2_mean,r2_std,cpu_mem_MB,gpu_mem_MB
BayesB,Chickpea,Hundred_seed_weight,Hundred-Seed Weight,2033.6729,0.618,0.02625,5.8779,0.4736,62.2921,10.1768,0.3284,0.09757,12011.5742,0
BayesB,Chickpea,Days_to_0.5_flowering,Days to 50% flowering,2014.7032,0.4868,0.04148,11.7912,0.9171,223.1515,29.7598,0.1454,0.1121,11478.3085,0
BayesB,Cotton,FibStr_17_18,Fiber Strength,12.4097,0.6058,0.09367,1.1319,0.05091,2.08178,0.2071,0.3436,0.1174,9639.7109,0
BayesB,Cotton,FibMic_17_18,Micronaire,18.8657,0.5062,0.07303,0.2292,0.01328,0.08664,0.009271,0.2451,0.08209,9639.7109,0
BayesB,Cotton,FibLen_17_18,Fiber Length,12.7655,0.5894,0.1047,1.0219,0.07221,1.7578,0.1709,0.3163,0.1675,9639.6914,0
BayesB,Cotton,FibElo_17_18,Fiber Elongation,14.2909,0.494,0.06115,0.6453,0.0592,0.6921,0.1308,0.2361,0.06088,9639.7148,0
BayesB,Loblolly_Pine,stiffnessTree,Stiffness Tree,64.7541,0.2775,0.1106,0.8896,0.07632,1.3694,0.2556,0.06031,0.07702,4465.875,0
BayesB,Loblolly_Pine,rootnumbin,Rootnum_bin,60.8858,0.1391,0.06385,0.2077,0.02376,0.06596,0.01448,-0.006138,0.03481,3772.8125,0
BayesB,Loblolly_Pine,rootnum,Rootnum,65.9518,0.118,0.06548,0.7552,0.08695,0.9205,0.1788,-0.007008,0.03993,3772.8125,0
BayesB,Loblolly_Pine,lignin,Lignin,62.3225,0.1379,0.08715,0.9042,0.02714,1.4133,0.08758,-0.00355,0.04356,4404.3554,0
BayesB,Loblolly_Pine,lateWood%4,Late Wood %4,64.4452,0.169,0.07773,1.201,0.09076,2.3648,0.3379,0.01506,0.03985,4758.8437,0
BayesB,Loblolly_Pine,density,Density,56.9966,0.1249,0.05558,1.6937,0.1353,6.03045,1.1352,0.002953,0.02232,4342.2421,0
BayesB,Loblolly_Pine,c5c6,C5C6,57.5893,0.2027,0.09904,1.9599,0.1172,6.679,0.6871,0.02301,0.05664,4219.08203,0
BayesB,Maize,PH,Plant Height,1728.6981,0.6528,0.05187,12.543,0.933,257.893,35.2483,0.398,0.05826,8543.9609,0
BayesB,Maize,EW,Ear Weight,1795.8512,0.4884,0.06861,12.08291,0.8033,235.11,30.8261,0.1945,0.08159,8186.4882,0
BayesB,Maize,DTT,Days to tasseling ,1640.4022,0.6415,0.05208,1.7618,0.08952,5.007259,0.4963,0.3797,0.06831,7118.5664,0
BayesB,Millet,TSLW,Second Leaf Width,241.375,0.4351,0.07074,0.2488,0.02846,0.09901,0.0241,0.1282,0.0581,6049.1601,0
BayesB,Millet,TSLL,Second Leaf Length,232.2609,0.5151,0.07775,5.2659,0.4793,44.6202,7.9822,0.2001,0.1148,6840.9882,0
BayesB,Millet,SGN,Grain Number per Spike,238.257,0.3674,0.1251,23.2371,2.6498,866.3547,182.01958,0.07086,0.1649,4499.875,0
BayesB,Millet,PGW,Per-Plant Grain Weight,233.5149,0.2771,0.1057,3.9173,0.4097,24.7928,4.8732,0.05115,0.05535,4619.05078,0
BayesB,Millet,MSW,Main Stem Diameter,276.3133,0.6133,0.06153,1.3181,0.1049,2.7831,0.3432,0.3167,0.08329,5690.832,0
BayesB,Millet,MSSN,Main Stem Spikelet Number,249.2508,0.339,0.06763,12.9066,1.03503,274.9315,51.4704,0.05076,0.07999,4261.5234,0
BayesB,Millet,MSPW,Main Stem Panicle Weight,250.4822,0.293,0.1373,4.5494,0.6397,34.08834,8.9303,0.04897,0.1076,4619.05078,0
BayesB,Millet,MSPL,Main Stem Panicle Length,244.339,0.5723,0.07619,3.4317,0.3165,19.004876,2.4756,0.3026,0.0816,5810.007812,0
BayesB,Millet,MSPD,Main Stem Panicle Diameter,254.7325,0.6602,0.05679,6.1879,0.5188,60.5093,9.4776,0.3863,0.08053,5095.7539,0
BayesB,Millet,MSH,Main Stem Height,247.03384,0.3086,0.08008,11.2259,0.5366,196.7868,23.2292,0.0466,0.07543,6644.07812,0
BayesB,Millet,HKW,Hundred-Kernel Weight,231.9998,0.2437,0.093,0.1872,0.06702,0.3891,0.6899,-18.005823,14.4437,4619.05078,0
BayesB,Millet,FNL,Flag Neck Length,245.099,0.5341,0.1234,3.9541,0.4944,35.6736,35.2725,0.2349,0.131,4261.5234,0
BayesB,Mouse,weight,Body Weight,228.01409,0.4695,0.02937,2.5144,0.1617,9.8115,1.2214,0.1324,0.09157,4523.5703,0
BayesB,Mouse,Obesity.BMI,Body Mass Index,202.598,0.2552,0.08123,0.04682,0.003485,0.003517,0.0005509,0.00218,0.08334,4646.6054,0
BayesB,Mouse,Anx,Anxiety-like Behavior,223.4642,0.3861,0.04753,0.4004,0.03925,0.2537,0.04645,-0.03177,0.1962,4277.5,0
BayesB,Pig,bf,Backfat Thickness at 100 kg body weight,1499.5218,0.6822,0.02689,2.1597,0.1125,7.4618,0.623,0.3893,0.0612,10369.7656,0
BayesB,Pig,age,Age at 100 kg body weight,1518.4664,0.6869,0.02109,9.2722,0.4917,139.964,15.4846,0.4074,0.08341,9564.9218,0
BayesB,Rapeseed,FloweringTime,Flowering Time,122.8707,0.7994,0.02736,5.2091,0.878,51.3286,18.9952,0.5223,0.1287,4088.07031,0
BayesB,Rice,TGW_BLUP,Thousand-Grain Weight,25.31,0.2516,0.09646,2.1351,0.2552,7.5636,1.582,-0.01634,0.07409,3772.1914,0
BayesB,Rice,PPNP_BLUP,Panicle Number per Plant,25.9128,0.4277,0.1016,0.8211,0.08956,1.1207,0.2738,0.1257,0.1021,3772.1914,0
BayesB,Rice,PH_BLUP,Plant Height,26.6335,0.3946,0.06148,7.8333,1.161,105.1444,31.1519,0.1115,0.1083,3772.1914,0
BayesB,Rice,HD_BLUP,Heading Date,23.1957,0.5406,0.0934,7.09561,0.6181,78.9409,11.5309,0.2152,0.1166,3772.1914,0
BayesB,Rice,GYP_BLUP,Grain Yield per Plant,28.2079,0.3079,0.08296,2.01393,0.2377,6.9085,1.715,0.04528,0.08685,3772.2656,0
BayesB,Rice,GW_BLUP,Grain Weight,24.6858,0.8051,0.02957,0.1718,0.01785,0.04675,0.01004,0.5812,0.05112,3772.1914,0
BayesB,Rice,GL_BLUP,Grain Length,28.1997,0.8147,0.02377,0.5667,0.1022,0.5346,0.161,0.5475,0.1388,4024.8046,0
BayesB,Soybean,VBN_BLUP,,1583.4775,0.6088,0.0296,0.4973,0.03315,0.4477,0.04698,0.3494,0.035,10795.9921,0
BayesB,Soybean,PLH_BLUP,,1599.8126,0.5756,0.0306,10.3398,0.5994,189.4217,23.1839,0.3078,0.04155,10795.1562,0
BayesB,Soybean,BBD_BLUP,,1577.8492,0.6071,0.03687,5.315,0.3748,51.9066,5.5231,0.3408,0.05504,11782.3242,0
BayesB,Wheat,deregressed.blups,Deregressed BLUPs,1914.4869,0.4907,0.02997,365.04718,9.9551,219000.0,12387.4886,0.2279,0.03982,15018.8632,0
BayesB,Wheat,blups,Best Linear Unbiased Predictors (BLUPs),1812.5337,0.4944,0.02827,229.0667,6.1304,86512.5766,4633.0821,0.2304,0.02934,17456.7031,0
BayesB,Wheat,Adj.Grain.Yield,Adjusted Grain Yield,1829.09514,0.4956,0.02859,366.08916,13.2026,220000.0,15294.9757,0.2252,0.03622,16462.457,0
BayesB,Yeast,Tunicamycin,Growth Response under Tunicamycin,289.982,0.7878,0.03352,2.2558,0.1542,8.2937,1.3371,0.6108,0.05243,2373.914,0
BayesB,Yeast,Magnesium_Sulfate,Growth Response under Magnesium Sulfate,309.6356,0.6314,0.06099,1.355,0.09559,3.3356,0.4776,0.3743,0.08027,2037.5234,0
BayesB,Yeast,Cobalt_Chloride,Growth Response under Cobalt Chloride,193.7862,0.6936,0.06334,1.608,0.1228,4.1117,0.6516,0.4698,0.09089,1985.2109,0
BayesC,Cattle,scs,	Somatic cell score,2858.5327,0.7428,0.0215,0.5561,0.06113,0.4891,0.1097,0.5085,0.1086,18061.246,0
BayesC,Cattle,mkg,Milk yield,2607.2503,0.7797,0.01672,0.5495,0.08254,0.4787,0.1408,0.5158,0.1545,10505.6601,0
BayesC,Cattle,fpro,Fat percentage,2660.8784,0.8181,0.01134,0.6715,0.1458,0.6761,0.2506,0.3201,0.255,13070.9648,0
BayesC,Chicken,EW36,Egg Weight at 36 weeks,49.3535,0.3669,0.08308,2.5443,0.1763,9.8406,1.2047,0.06952,0.1124,5390.1718,0
BayesC,Chicken,EW28,Egg Weight at 28 weeks,60.4708,0.3318,0.0731,2.677,0.2683,11.1053,1.8155,0.05969,0.09778,4591.02734,0
BayesC,Chickpea,Plant_height,Plant Height,1936.7146,0.5804,0.02988,6.7376,0.7066,73.5543,10.4981,0.2358,0.1849,10354.9101,0
BayesC,Chickpea,Hundred_seed_weight,Hundred-Seed Weight,1999.8684,0.625,0.02718,5.8887,0.4943,61.9464,10.3829,0.3345,0.07449,11421.8554,0
BayesC,Chickpea,Days_to_0.5_flowering,Days to 50% flowering,1964.04885,0.4879,0.04474,11.444,0.7538,210.7893,25.298,0.1949,0.0744,11421.832,0
BayesC,Cotton,FibStr_17_18,Fiber Strength,12.6061,0.6066,0.08909,1.121,0.05022,2.05061,0.2101,0.3537,0.114,9168.496,0
BayesC,Cotton,FibMic_17_18,Micronaire,15.9502,0.5099,0.06625,0.2292,0.0126,0.08608,0.008758,0.251,0.06688,8713.6953,0
BayesC,Cotton,FibLen_17_18,Fiber Length,12.6532,0.5864,0.1177,1.0288,0.07028,1.7785,0.1817,0.3072,0.1778,9168.4804,0
BayesC,Cotton,FibElo_17_18,Fiber Elongation,15.7413,0.5011,0.06055,0.6564,0.07227,0.7105,0.1571,0.2175,0.09696,8713.7031,0
BayesC,Loblolly_Pine,stiffnessTree,Stiffness Tree,51.159,0.2679,0.1049,0.8872,0.07759,1.3779,0.2616,0.05501,0.08249,4899.01562,0
BayesC,Loblolly_Pine,rootnumbin,Rootnum_bin,54.418,0.1775,0.05067,0.2062,0.02376,0.06438,0.01407,0.01785,0.02978,4314.625,0
BayesC,Loblolly_Pine,rootnum,Rootnum,54.9804,0.1012,0.05701,0.7517,0.08347,0.9228,0.1832,-0.008214,0.02423,8868.9804,0
BayesC,Loblolly_Pine,lignin,Lignin,56.9346,0.1477,0.08403,0.8994,0.03311,1.3921,0.08627,0.01182,0.03441,4837.2539,0
BayesC,Loblolly_Pine,lateWood%4,Late Wood %4,57.5759,0.1837,0.06581,1.1991,0.08482,2.3547,0.3205,0.01868,0.03143,4744.8554,0
BayesC,Loblolly_Pine,density,Density,54.4025,0.112,0.06469,1.719,0.1358,6.1362,1.1506,-0.01542,0.04672,4931.7148,0
BayesC,Loblolly_Pine,c5c6,C5C6,57.6426,0.1925,0.06514,1.9528,0.1516,6.662,0.8033,0.02894,0.02809,4931.7148,0
BayesC,Maize,PH,Plant Height,1588.3503,0.6514,0.05588,12.8604,1.5077,268.1564,58.421,0.3759,0.121,8143.09765,0
BayesC,Maize,EW,Ear Weight,1653.09514,0.4907,0.06714,11.7705,0.6495,228.8744,30.1404,0.2174,0.0624,7012.4296,0
BayesC,Maize,DTT,Days to tasseling ,1464.4408,0.6303,0.04915,1.7961,0.1085,5.2303,0.5541,0.3529,0.065,9651.8007,0
BayesC,Millet,TSLW,Second Leaf Width,207.9704,0.4379,0.07766,0.2485,0.0357,0.0987,0.02858,0.1381,0.07286,4635.2617,0
BayesC,Millet,TSLL,Second Leaf Length,213.4502,0.4992,0.08262,5.2482,0.427,44.4273,6.6433,0.1954,0.1544,5846.6679,0
BayesC,Millet,SGN,Grain Number per Spike,188.7204,0.3754,0.1165,22.5043,1.7734,807.1205,128.05438,0.1333,0.09987,4635.2617,0
BayesC,Millet,PGW,Per-Plant Grain Weight,196.0495,0.2942,0.1238,3.9395,0.36,25.5965,4.3704,0.01233,0.08395,4873.2929,0
BayesC,Millet,MSW,Main Stem Diameter,212.6269,0.6068,0.04594,1.3235,0.1708,2.8478,0.7718,0.3123,0.1287,4873.2929,0
BayesC,Millet,MSSN,Main Stem Spikelet Number,190.9268,0.3196,0.0808,12.9743,0.9467,283.1787,50.6012,0.01667,0.1365,4396.9101,0
BayesC,Millet,MSPW,Main Stem Panicle Weight,198.6561,0.2891,0.1284,4.6399,0.5618,34.1126,7.9424,0.043,0.08573,4516.08593,0
BayesC,Millet,MSPL,Main Stem Panicle Length,225.04806,0.5723,0.08004,3.5196,0.2796,19.571,2.9732,0.2812,0.1023,4754.4375,0
BayesC,Millet,MSPD,Main Stem Panicle Diameter,204.8337,0.6369,0.063,6.211,0.6953,63.03535,14.3305,0.362,0.1383,4635.2617,0
BayesC,Millet,MSH,Main Stem Height,198.05101,0.3057,0.08306,11.4381,1.2925,210.5016,55.04224,-0.01129,0.1978,4634.9414,0
BayesC,Millet,HKW,Hundred-Kernel Weight,201.2265,0.259,0.1681,0.1584,0.08784,0.3718,0.7072,-8.08011,7.2446,4396.9101,0
BayesC,Millet,FNL,Flag Neck Length,190.6362,0.5295,0.1217,4.08049,0.5194,37.8691,36.4408,0.1698,0.2098,4396.9101,0
BayesC,Mouse,weight,Body Weight,197.005874,0.4521,0.03191,2.4877,0.1404,9.5494,1.2072,0.1573,0.06975,4539.7812,0
BayesC,Mouse,Obesity.BMI,Body Mass Index,198.004085,0.2332,0.07201,0.04753,0.004236,0.003613,0.0005205,-0.02733,0.09295,4662.9257,0
BayesC,Mouse,Anx,Anxiety-like Behavior,192.3401,0.3941,0.05744,0.3756,0.0302,0.2226,0.03139,0.1001,0.09406,4662.8984,0
BayesC,Pig,bf,Backfat Thickness at 100 kg body weight,1475.1179,0.684,0.02505,2.03307,0.09911,6.8154,0.5994,0.4433,0.04441,14664.7265,0
BayesC,Pig,age,Age at 100 kg body weight,1406.6896,0.6826,0.01847,8.9928,0.3749,133.03999,13.7633,0.4407,0.03347,15127.6718,0
BayesC,Rapeseed,FloweringTime,Flowering Time,124.6839,0.8087,0.02482,6.1151,1.9204,68.4972,35.1869,0.3763,0.2226,6424.4023,0
BayesC,Rice,TGW_BLUP,Thousand-Grain Weight,23.3818,0.2517,0.1039,2.04728,0.1673,7.1549,1.4222,0.03584,0.05757,4907.09765,0
BayesC,Rice,PPNP_BLUP,Panicle Number per Plant,24.4751,0.4392,0.1097,0.8126,0.07395,1.08043,0.2201,0.1498,0.1063,4907.1132,0
BayesC,Rice,PH_BLUP,Plant Height,30.03374,0.4097,0.06487,7.8042,1.002144,105.9824,33.004703,0.1074,0.09255,4907.1289,0
BayesC,Rice,HD_BLUP,Heading Date,19.3194,0.5187,0.1006,7.4916,0.963,90.4282,21.7263,0.09242,0.2644,4907.08203,0
BayesC,Rice,GYP_BLUP,Grain Yield per Plant,29.9755,0.3053,0.07609,2.02243,0.2084,7.01943,2.1105,0.04159,0.07505,4907.1718,0
BayesC,Rice,GW_BLUP,Grain Weight,26.542,0.8088,0.03676,0.1593,0.02021,0.04123,0.009312,0.6296,0.06001,4907.08984,0
BayesC,Rice,GL_BLUP,Grain Length,27.2826,0.817,0.02544,0.5225,0.08095,0.4557,0.1077,0.6106,0.1135,6361.75,0
BayesC,Soybean,VBN_BLUP,,1466.5002,0.6026,0.02989,0.5048,0.02158,0.4509,0.03516,0.343,0.03533,14268.3515,0
BayesC,Soybean,PLH_BLUP,,1590.1578,0.5687,0.03647,10.634,0.6479,195.8492,24.354,0.2848,0.04411,10812.8476,0
BayesC,Soybean,BBD_BLUP,,1477.3023,0.6,0.03158,5.2813,0.2205,52.3027,3.8343,0.3343,0.04813,12786.8281,0
BayesC,Wheat,deregressed.blups,Deregressed BLUPs,1707.1424,0.4802,0.02759,370.6934,11.9467,227220.0,11887.8578,0.1983,0.04901,15696.08593,0
BayesC,Wheat,blups,Best Linear Unbiased Predictors (BLUPs),1854.511,0.4795,0.02729,231.6127,6.2107,88143.8108,4561.6613,0.2155,0.03599,19362.4023,0
BayesC,Wheat,Adj.Grain.Yield,Adjusted Grain Yield,1816.9951,0.4829,0.03076,365.2631,11.3794,220900.0,12356.9144,0.2215,0.03193,15882.9101,0
BayesC,Yeast,Tunicamycin,Growth Response under Tunicamycin,268.9135,0.7788,0.03939,2.3371,0.2213,8.7492,1.6842,0.5897,0.06871,2072.07812,0
BayesC,Yeast,Magnesium_Sulfate,Growth Response under Magnesium Sulfate,292.4524,0.6209,0.05651,1.3498,0.1046,3.4763,0.5728,0.3503,0.08444,1968.9218,0
BayesC,Yeast,Cobalt_Chloride,Growth Response under Cobalt Chloride,176.09394,0.6835,0.06617,1.649,0.1236,4.242,0.6037,0.4527,0.08792,1894.2656,0
SVR,Cattle,scs,	Somatic cell score,76.1595,0.7145,0.02559,0.5622,0.02194,0.5014,0.04404,0.4966,0.03012,5689.5664,4050
SVR,Cattle,mkg,Milk yield,101.5423,0.7812,0.01435,0.4997,0.01418,0.3938,0.01789,0.6034,0.01887,5689.3242,3336
SVR,Cattle,fpro,Fat percentage,120.6653,0.8178,0.01278,0.4571,0.008021,0.3372,0.01173,0.6608,0.01735,5689.4453,1962
SVR,Chicken,EW36,Egg Weight at 36 weeks,15.08409,0.3534,0.06326,2.5304,0.1276,10.014,0.9973,0.05341,0.0886,2560.9453,498
SVR,Chicken,EW28,Egg Weight at 28 weeks,15.5355,0.3358,0.09142,2.6958,0.2724,11.703,2.3301,0.01305,0.1198,2557.4687,500
SVR,Chickpea,Plant_height,Plant Height,48.7079,0.5873,0.03392,6.1536,0.3933,64.733,7.6246,0.34,0.03882,4892.2929,5526
SVR,Chickpea,Hundred_seed_weight,Hundred-Seed Weight,46.2693,0.6235,0.02584,5.5078,0.2732,58.2492,6.128,0.3728,0.03412,4892.5273,4704
SVR,Chickpea,Days_to_0.5_flowering,Days to 50% flowering,53.6661,0.4947,0.04437,10.988,0.6151,199.1531,20.09873,0.2395,0.04714,4891.4882,3200
SVR,Cotton,FibStr_17_18,Fiber Strength,16.374,0.6657,0.08169,1.03891,0.06897,1.7966,0.2422,0.4308,0.1238,2528.3828,452
SVR,Cotton,FibMic_17_18,Micronaire,13.08668,0.5751,0.08579,0.2151,0.01341,0.0768,0.009951,0.3294,0.09838,2529.8593,448
SVR,Cotton,FibLen_17_18,Fiber Length,16.5469,0.6457,0.1386,0.9396,0.06832,1.5304,0.216,0.3922,0.234,2524.6562,450
SVR,Cotton,FibElo_17_18,Fiber Elongation,14.2682,0.5769,0.04128,0.6082,0.04836,0.614,0.1215,0.3233,0.04684,2530.05859,440
SVR,Loblolly_Pine,stiffnessTree,Stiffness Tree,11.1855,0.2936,0.1178,0.8771,0.08094,1.3779,0.2905,0.06088,0.04671,2635.05078,568
SVR,Loblolly_Pine,rootnumbin,Rootnum_bin,11.9254,0.1697,0.09838,0.2057,0.0243,0.06657,0.01587,-0.0102,0.02945,2634.4375,494
SVR,Loblolly_Pine,rootnum,Rootnum,12.7218,0.1587,0.0783,0.7519,0.08136,0.9211,0.1795,-0.006687,0.01281,2634.2773,468
SVR,Loblolly_Pine,lignin,Lignin,11.7221,0.1602,0.1257,0.901,0.03097,1.394,0.07742,0.01045,0.02129,2634.9687,530
SVR,Loblolly_Pine,lateWood%4,Late Wood %4,11.6461,0.1947,0.0771,1.187,0.08096,2.3378,0.3077,0.02523,0.029,2634.8359,468
SVR,Loblolly_Pine,density,Density,12.8661,0.2122,0.05427,1.7129,0.1395,6.06601,1.2146,-0.0009013,0.01846,2634.7265,594
SVR,Loblolly_Pine,c5c6,C5C6,11.1946,0.1974,0.1075,2.01531,0.274,12.8294,18.5769,-0.9251,2.8942,2634.5859,704
SVR,Maize,PH,Plant Height,43.004464,0.6781,0.04423,11.9767,1.1129,236.5316,41.5301,0.4508,0.06009,4716.7031,1222
SVR,Maize,EW,Ear Weight,38.1184,0.5623,0.06262,11.03567,0.8812,202.4282,32.2022,0.3093,0.06988,4717.02734,3534
SVR,Maize,DTT,Days to tasseling ,30.9079,0.6355,0.05644,1.7302,0.1184,4.9143,0.6859,0.3945,0.0628,4716.457,1894
SVR,Millet,TSLW,Second Leaf Width,12.9525,0.4413,0.07149,0.2405,0.03018,0.09369,0.02337,0.1765,0.064,3327.9023,584
SVR,Millet,TSLL,Second Leaf Length,16.8879,0.4994,0.0818,5.1834,0.4085,42.5516,5.7739,0.2348,0.09418,3327.7734,700
SVR,Millet,SGN,Grain Number per Spike,14.6736,0.403,0.09366,22.2192,1.1998,793.8799,108.9689,0.1463,0.08485,3344.5351,794
SVR,Millet,PGW,Per-Plant Grain Weight,14.3168,0.2935,0.09334,3.8623,0.4232,24.6835,5.5643,0.05932,0.07991,3329.2343,636
SVR,Millet,MSW,Main Stem Diameter,16.6825,0.6396,0.05512,1.1987,0.1223,2.46,0.4768,0.4027,0.07097,3328.1406,750
SVR,Millet,MSSN,Main Stem Spikelet Number,15.3592,0.3234,0.08755,12.5121,1.211,269.5713,59.5367,0.07797,0.03946,3344.3125,642
SVR,Millet,MSPW,Main Stem Panicle Weight,13.7134,0.3194,0.104,4.447,0.5075,32.6112,7.5398,0.08559,0.07349,3328.5351,814
SVR,Millet,MSPL,Main Stem Panicle Length,15.2342,0.5504,0.08962,3.4178,0.2826,19.06388,2.5937,0.299,0.09841,3328.2265,702
SVR,Millet,MSPD,Main Stem Panicle Diameter,18.3789,0.6524,0.05542,5.8943,0.52,58.09343,11.05586,0.414,0.08047,3328.3359,560
SVR,Millet,MSH,Main Stem Height,18.5858,0.3315,0.05957,11.4402,0.6162,203.717,23.5758,0.01137,0.09576,3328.003906,640
SVR,Millet,HKW,Hundred-Kernel Weight,13.2565,0.4693,0.1616,0.05839,0.05856,0.3571,0.7202,0.2207,0.1271,3343.957,652
SVR,Millet,FNL,Flag Neck Length,16.9363,0.5732,0.1218,3.6779,0.5057,32.6007,35.1981,0.3259,0.1167,3328.4335,808
SVR,Mouse,weight,Body Weight,18.2695,0.4594,0.03236,2.4302,0.1198,9.05394,0.6737,0.199,0.03289,3353.8984,680
SVR,Mouse,Obesity.BMI,Body Mass Index,12.1849,0.2,0.07802,0.0466,0.003269,0.00347,0.0005043,0.0153,0.05145,3354.7109,524
SVR,Mouse,Anx,Anxiety-like Behavior,14.6915,0.4134,0.04522,0.3615,0.01865,0.2072,0.02262,0.1627,0.02704,3354.05078,604
SVR,Pig,bf,Backfat Thickness at 100 kg body weight,57.6426,0.6856,0.02645,1.9764,0.08356,6.5179,0.552,0.4679,0.03539,5158.3125,1758
SVR,Pig,age,Age at 100 kg body weight,40.7104,0.6911,0.01612,8.7048,0.3201,125.4966,6.7939,0.4709,0.02296,5157.2773,3310
SVR,Rapeseed,FloweringTime,Flowering Time,16.9889,0.8222,0.03077,3.8612,0.4264,37.2259,14.1024,0.6651,0.05326,3278.1992,570
SVR,Rice,TGW_BLUP,Thousand-Grain Weight,14.6812,0.2692,0.09596,2.02184,0.1883,7.02602,1.4768,0.05595,0.04887,3145.4453,450
SVR,Rice,PPNP_BLUP,Panicle Number per Plant,11.6841,0.4567,0.1036,0.7958,0.07593,1.03523,0.2204,0.189,0.08434,3147.4687,526
SVR,Rice,PH_BLUP,Plant Height,13.9563,0.4143,0.05889,7.5438,0.9591,103.3699,29.4117,0.1259,0.05068,3146.6015,464
SVR,Rice,HD_BLUP,Heading Date,14.8741,0.5629,0.1083,6.5099,0.686,70.8654,14.4907,0.2953,0.1543,3146.3046,494
SVR,Rice,GYP_BLUP,Grain Yield per Plant,14.3145,0.3009,0.09418,1.9615,0.2057,6.7314,1.7457,0.07604,0.04216,3147.875,530
SVR,Rice,GW_BLUP,Grain Weight,11.9433,0.8135,0.03407,0.1527,0.01782,0.03843,0.008536,0.6548,0.0543,3145.125,462
SVR,Rice,GL_BLUP,Grain Length,12.6328,0.8207,0.02314,0.4625,0.02954,0.3958,0.0532,0.6657,0.03844,3144.914,536
SVR,Soybean,VBN_BLUP,,41.4176,0.6246,0.033,0.474,0.03155,0.4232,0.04786,0.3851,0.03965,5346.03515,3202
SVR,Soybean,PLH_BLUP,,57.02129,0.6104,0.03115,9.5285,0.4003,172.5247,15.5122,0.3675,0.04138,5344.6796,1458
SVR,Soybean,BBD_BLUP,,55.884,0.6123,0.03419,4.9266,0.2779,49.9991,5.2757,0.3652,0.04756,5343.5078,1442
SVR,Wheat,deregressed.blups,Deregressed BLUPs,70.4982,0.3414,0.03326,400.5992,12.08236,267430.0,15790.9376,0.05852,0.005302,5865.8398,3020
SVR,Wheat,blups,Best Linear Unbiased Predictors (BLUPs),70.2474,0.3494,0.03293,249.847,7.6154,104190.0,6209.42,0.07413,0.006729,5863.03906,1724
SVR,Wheat,Adj.Grain.Yield,Adjusted Grain Yield,68.5104,0.3473,0.0325,398.2178,12.04215,264410.0,15538.8787,0.06913,0.006193,5868.9296,5004
SVR,Yeast,Tunicamycin,Growth Response under Tunicamycin,12.657,0.7411,0.05222,2.6409,0.1988,10.3693,1.6023,0.5132,0.06385,1485.2539,572
SVR,Yeast,Magnesium_Sulfate,Growth Response under Magnesium Sulfate,14.01593,0.6154,0.06362,1.2692,0.1208,4.03869,0.9198,0.2619,0.05432,1485.2148,736
SVR,Yeast,Cobalt_Chloride,Growth Response under Cobalt Chloride,13.558,0.6719,0.07633,1.6684,0.1329,4.3448,0.6926,0.4398,0.09565,1484.9765,686
RandomForest,Cattle,scs,	Somatic cell score,231.6765,0.523,0.04482,0.7329,0.02574,0.855,0.07238,0.1427,0.01582,6488.5859,3260
RandomForest,Cattle,mkg,Milk yield,147.1292,0.6306,0.02324,0.7066,0.0232,0.7879,0.04105,0.2076,0.01181,6131.0664,1264
RandomForest,Cattle,fpro,Fat percentage,208.2517,0.6841,0.01703,0.6596,0.01665,0.6922,0.02666,0.3048,0.008543,6164.3476,2434
RandomForest,Chicken,EW36,Egg Weight at 36 weeks,43.03708,0.2843,0.108,2.6494,0.1875,10.5156,1.4758,0.01445,0.016,4080.6523,1664
RandomForest,Chicken,EW28,Egg Weight at 28 weeks,24.4746,0.2814,0.06734,2.7332,0.2417,11.6783,2.04419,0.01653,0.0146,4079.1445,1668
RandomForest,Chickpea,Plant_height,Plant Height,74.2715,0.5885,0.03481,6.2388,0.3813,64.3547,7.3178,0.3435,0.0379,5880.496,4032
RandomForest,Chickpea,Hundred_seed_weight,Hundred-Seed Weight,110.884,0.6291,0.02679,5.5721,0.2468,56.5239,5.203,0.3906,0.03248,6053.7148,4036
RandomForest,Chickpea,Days_to_0.5_flowering,Days to 50% flowering,105.1333,0.4835,0.04499,11.216,0.537,202.7072,18.607,0.2257,0.04084,5879.5742,2362
RandomForest,Cotton,FibStr_17_18,Fiber Strength,20.4439,0.6676,0.08493,1.05051,0.05898,1.8275,0.219,0.4244,0.1055,4354.05468,3476
RandomForest,Cotton,FibMic_17_18,Micronaire,30.8149,0.5757,0.07394,0.216,0.01271,0.07851,0.009737,0.3174,0.07314,4354.9335,3508
RandomForest,Cotton,FibLen_17_18,Fiber Length,18.114,0.6503,0.1445,0.9404,0.0802,1.5708,0.2613,0.395,0.1467,4352.5078,3462
RandomForest,Cotton,FibElo_17_18,Fiber Elongation,17.3247,0.577,0.06166,0.6079,0.04768,0.6135,0.124,0.3231,0.06712,4355.6757,3490
RandomForest,Loblolly_Pine,stiffnessTree,Stiffness Tree,17.3234,0.3643,0.08865,0.8547,0.0799,1.2958,0.2449,0.1126,0.05018,4439.02343,3616
RandomForest,Loblolly_Pine,rootnumbin,Rootnum_bin,34.9842,0.2536,0.0645,0.2027,0.02407,0.06255,0.0146,0.05016,0.02482,4422.4296,3560
