method,species,phenotype,cv_splits,corr,cpu_mem_MB,final/all_time,final/corr_mean,final/corr_std,final/mae_mean,final/mae_std,final/mse_mean,final/mse_std,final/r2_mean,final/r2_std,fold,gpu_mem_MB,mae,mse,r2,time_sec
BayesB,Millet,FNL,10,0.5148,2410.1953,218.3743,0.5394,0.1203,4.04662,0.5914,37.7185,36.4973,0.1795,0.1802,9,0,3.7911,24.5344,0.1932,21.3232
BayesA,Millet,FNL,10,0.5042,2405.8242,213.5771,0.5282,0.1328,3.8769,0.4782,35.1865,36.2497,0.2526,0.1363,9,0,3.6865,25.5025,0.1613,20.6812
BayesC,Millet,FNL,10,0.535,2644.09765,188.868,0.5475,0.1205,3.9591,0.6177,36.06375,36.1999,0.2298,0.1602,9,0,3.5643,23.5976,0.224,18.869
BayesB,Millet,MSPD,10,0.6383,2396.2578,226.105,0.6668,0.04109,6.1335,0.4851,60.9646,11.5493,0.3832,0.09131,9,0,6.24,59.05023,0.3849,22.8114
BayesA,Millet,MSPD,10,0.6344,2380.7148,228.0817,0.6621,0.0538,5.9355,0.5039,56.5535,10.4333,0.4295,0.07365,9,0,6.2149,58.8461,0.387,20.7602
BayesC,Millet,MSPD,10,0.6351,2523.4257,212.2626,0.6314,0.0529,6.2327,0.4716,63.1774,9.8474,0.3615,0.07001,9,0,6.3777,61.5317,0.3591,19.8876
BayesB,Millet,MSPL,10,0.6288,2648.5468,262.4458,0.5793,0.08552,3.5885,0.4453,20.5584,5.322,0.2502,0.1534,9,0,3.3408,17.5694,0.3476,23.1696
BayesA,Millet,MSPL,10,0.6321,2576.7304,265.07756,0.5683,0.07247,3.4022,0.2868,18.6228,2.4629,0.3152,0.09135,9,0,3.08971,16.3215,0.394,25.225
BayesC,Millet,MSPL,10,0.6313,2528.5742,228.8705,0.5669,0.08586,3.4986,0.3099,19.6032,2.8552,0.2787,0.1091,9,0,3.06229,16.6692,0.381,26.7947
rrBLUP,Soybean,VBN_BLUP,10,0.6732,8843.007812,430.9399,0.6144,0.03004,0.4888,0.028,0.4309,0.04032,0.3728,0.03623,9,0,0.4336,0.3627,0.444,43.3418
BayesB,Millet,MSW,10,0.6641,2418.207,251.2765,0.6282,0.0575,1.2895,0.129,2.6481,0.4703,0.3499,0.113,9,0,1.1599,2.1702,0.4405,25.716
BayesA,Millet,MSW,10,0.611,2640.7812,259.3298,0.6073,0.05017,1.2689,0.1254,2.6297,0.4468,0.3604,0.06311,9,0,1.2175,2.4846,0.3594,23.7445
BayesC,Millet,MSW,10,0.613,2697.1953,264.1804,0.5984,0.06317,1.3431,0.1294,2.9114,0.496,0.2913,0.08257,9,0,1.2055,2.4396,0.371,29.1582
BayesB,Millet,MSH,10,0.1744,2418.01953,268.5053,0.3003,0.08558,11.3299,0.5512,202.5144,25.1477,0.02101,0.05826,9,0,11.4498,209.4445,-0.01475,28.4946
BayesC,Millet,MSH,10,0.1867,2421.6796,237.8867,0.316,0.08564,11.33,0.9829,199.3856,36.7299,0.03982,0.1074,9,0,11.2542,207.3702,-0.004708,26.4715
BayesA,Millet,MSH,10,0.1586,2536.3554,257.249,0.3116,0.08419,11.1771,0.5787,193.1605,22.9176,0.06387,0.0801,9,0,11.8373,223.8583,-0.08459,22.04353
rrBLUP,Soybean,PLH_BLUP,10,0.5775,8455.9804,421.1741,0.5801,0.03584,10.103,0.4633,182.5245,17.3374,0.3313,0.04055,9,0,9.4772,181.2223,0.3331,39.5165
BayesB,Millet,TSLW,10,0.2973,2346.1953,-,-,-,-,-,-,-,-,-,8,0,0.2746,0.1198,-0.06552,30.1839
BayesC,Millet,TSLW,10,0.3304,2363.4687,244.6768,0.4489,0.08047,0.2519,0.04032,0.102,0.03004,0.1063,0.1471,9,0,0.3034,0.151,0.09818,20.3986
BayesA,Millet,TSLW,10,0.3329,2369.6523,256.9342,0.4365,0.07436,0.2425,0.03382,0.09498,0.02616,0.1698,0.0675,9,0,0.3067,0.149,0.1101,29.04015
BayesB,Millet,TSLL,10,0.6149,2297.8125,264.4244,0.4985,0.08383,5.3224,0.4267,44.8595,6.5987,0.1938,0.1129,9,0,5.06856,39.8275,0.2485,26.7061
rrBLUP,Soybean,BBD_BLUP,10,0.5963,8840.7382,427.01358,0.608,0.02888,5.151,0.2246,50.1755,4.09865,0.3623,0.03828,9,0,5.1181,55.2421,0.3541,47.6318
BayesC,Millet,TSLL,10,0.6021,2318.1132,226.7873,0.5037,0.08367,5.1196,0.3788,41.9434,5.8059,0.2466,0.08794,9,0,4.6375,34.5765,0.3476,23.8162
BayesA,Millet,TSLL,10,0.6118,2495.2031,239.8164,0.5063,0.08753,5.1173,0.4132,41.6711,5.9835,0.2509,0.09706,9,0,4.4951,33.2676,0.3722,23.7131
rrBLUP,Rice,GYP_BLUP,10,0.1537,905.8281,42.1079,0.3219,0.08375,1.9599,0.227,6.5979,1.7262,0.09382,0.05157,9,0,2.118,6.4355,-0.008088,4.7214
rrBLUP,Rice,PPNP_BLUP,10,0.4827,869.5546,41.3011,0.4506,0.09764,0.7956,0.07239,1.04243,0.2196,0.182,0.08674,9,0,0.8218,1.09635,0.2309,3.9143
rrBLUP,Rice,PH_BLUP,10,0.4661,875.457,42.3416,0.4193,0.05719,7.5712,0.9044,101.08074,29.8147,0.1473,0.04793,9,0,6.6618,68.5925,0.2095,4.4223
rrBLUP,Rice,HD_BLUP,10,0.3313,894.6757,43.8658,0.5447,0.09905,6.723,0.5902,72.1376,11.4659,0.2836,0.1153,9,0,7.3305,84.623,0.03068,3.5675
rrBLUP,Rice,TGW_BLUP,10,0.1867,904.1054,43.8411,0.2618,0.1074,2.02044,0.1864,7.06384,1.5399,0.05243,0.05421,9,0,1.8698,6.8775,0.02582,3.9716
rrBLUP,Rice,GW_BLUP,10,0.7893,900.621,44.3817,0.812,0.03567,0.1534,0.01918,0.03873,0.009069,0.6527,0.05711,9,0,0.1764,0.04875,0.6226,4.3327
rrBLUP,Rice,GL_BLUP,10,0.7965,907.1679,-,-,-,-,-,-,-,-,-,7,0,0.5011,0.4334,0.6332,3.443
rrBLUP,Rapeseed,FloweringTime,10,0.8047,1378.7773,59.5551,0.8178,0.02787,4.1057,0.3604,37.8297,12.2934,0.6553,0.04429,9,0,4.2926,35.09452,0.6405,5.6364
rrBLUP,Pig,bf,10,0.7069,10258.3828,693.9887,0.6874,0.02733,1.9782,0.09524,6.4664,0.575,0.4722,0.03772,9,0,2.01137,6.6403,0.4962,67.8158
BayesB,Maize,EW,10,0.3923,7860.5078,1788.3255,0.4901,0.06737,11.8935,0.6887,229.8674,26.9151,0.2114,0.07527,9,0,11.1305,200.3276,0.1146,177.3397
BayesA,Maize,EW,10,0.4302,6319.6171,1799.2987,0.5023,0.06468,11.6094,0.6767,220.9461,28.9881,0.2436,0.06974,9,0,10.9301,192.4378,0.1495,176.2693
BayesC,Maize,EW,10,0.4145,7785.8828,1757.5217,0.4885,0.05991,12.1956,1.02571,240.9426,35.1888,0.1704,0.1321,9,0,11.1271,203.3081,0.1014,163.6581
rrBLUP,Pig,age,10,0.6971,10257.8476,731.9434,0.6897,0.01672,8.7738,0.3114,124.9316,7.2318,0.4733,0.02403,9,0,8.3104,113.5428,0.4854,76.5069
rrBLUP,Millet,SGN,10,0.3432,1999.8671,59.4101,0.3935,0.1001,22.314,1.3632,798.6286,114.4384,0.1422,0.08358,9,0,24.8509,846.2827,0.1088,5.1451
rrBLUP,Millet,MSSN,10,0.3871,1629.5976,63.8051,0.3413,0.0726,12.4736,1.252,263.6521,58.009797,0.09702,0.05916,9,0,12.5184,270.2145,0.1361,6.5697
rrBLUP,Millet,HKW,10,0.3862,2226.4062,60.2541,0.4365,0.1591,0.06838,0.05504,0.3576,0.7185,-0.255,0.198,9,0,0.04445,0.003741,-0.4549,6.3808
rrBLUP,Millet,PGW,10,0.183,1884.6523,65.1806,0.2968,0.1223,3.8519,0.417,24.18,5.1759,0.07719,0.06245,9,0,4.5368,31.3643,0.03071,5.4651
rrBLUP,Millet,MSPW,10,0.1444,1880.8906,64.7774,0.3031,0.1278,4.521,0.5167,32.7342,7.2919,0.08036,0.0685,9,0,5.2558,43.6094,0.01241,5.8702
rrBLUP,Millet,FNL,10,0.5294,1884.7421,61.7617,0.5502,0.129,3.7618,0.4866,33.7023,35.8409,0.2967,0.122,9,0,3.5909,23.0715,0.2413,5.5873
rrBLUP,Millet,MSPD,10,0.6181,1872.5312,62.7127,0.6452,0.05357,6.01996,0.5438,58.5924,11.4829,0.4107,0.07294,9,0,6.2699,60.2934,0.372,5.7428
rrBLUP,Millet,MSPL,10,0.6514,1886.3085,63.4929,0.5738,0.07766,3.3729,0.2836,18.3503,2.5565,0.3257,0.09103,9,0,3.05604,15.7586,0.4149,6.08561
rrBLUP,Millet,MSW,10,0.6091,1767.1328,65.1408,0.607,0.05593,1.2687,0.1355,2.6286,0.4899,0.3623,0.06771,9,0,1.226,2.4907,0.3578,6.8506
rrBLUP,Millet,MSH,10,0.1874,1776.5273,58.6712,0.3142,0.08148,11.07505,0.6003,189.952,24.6844,0.08206,0.05985,9,0,11.5496,213.6085,-0.03493,4.9955
rrBLUP,Millet,TSLW,10,0.3585,2133.125,63.4904,0.4441,0.06933,0.24,0.03378,0.09358,0.0257,0.1824,0.06112,9,0,0.3035,0.1464,0.1256,6.4084
rrBLUP,Millet,TSLL,10,0.6211,1982.3085,67.2518,0.5106,0.08404,5.09007,0.4334,41.4124,6.2809,0.2574,0.08774,9,0,4.46,32.9491,0.3783,6.1738
BayesB,Maize,PH,10,0.6375,7858.3476,1718.3051,0.6551,0.05502,12.5044,1.2109,257.8793,48.1864,0.3999,0.08657,9,0,12.557,267.465,0.404,181.9456
BayesA,Maize,PH,10,0.6242,7826.2812,1655.1577,0.6587,0.05214,12.1759,1.1293,245.484,43.5614,0.4293,0.07042,9,0,12.7723,275.555,0.3859,187.5144
BayesC,Maize,PH,10,0.63,7410.746,1586.8741,0.6503,0.04426,12.5686,1.0762,256.1411,42.7455,0.4045,0.06424,9,0,13.09096,287.8438,0.3586,158.5821
rrBLUP,Maize,EW,10,0.4215,8886.07812,568.246,0.5085,0.06549,11.5743,0.7015,219.3082,29.1059,0.2492,0.07174,9,0,10.9711,194.747,0.1393,58.846
rrBLUP,Maize,PH,10,0.6278,9194.6367,563.7698,0.6625,0.04889,12.1295,1.1039,244.2848,42.1629,0.4313,0.07234,9,0,12.6798,274.7502,0.3877,53.1319
BayesC,Maize,DTT,10,0.6827,8168.207,1521.9057,0.637,0.05314,1.773,0.147,5.08632,0.7375,0.3741,0.06197,9,0,1.4792,3.586,0.4533,152.1371
BayesB,Maize,DTT,10,0.6641,8239.3125,1651.7212,0.6371,0.05361,1.7627,0.1372,5.05477,0.7381,0.3783,0.0609,9,0,1.5371,3.8158,0.4182,168.07939
BayesA,Maize,DTT,10,0.6804,7324.5742,1594.3967,0.6522,0.05166,1.7122,0.1072,4.7467,0.5814,0.4139,0.06112,9,0,1.4951,3.5772,0.4546,152.3949
rrBLUP,Maize,DTT,10,0.6979,8439.207,544.129,0.6516,0.05408,1.707,0.1051,4.7537,0.6251,0.4131,0.06943,9,0,1.4768,3.3986,0.4818,55.01456
rrBLUP,Loblolly_Pine,stiffnessTree,10,0.5178,1231.1718,66.4066,0.2814,0.1142,0.8817,0.08027,1.3637,0.2652,0.0658,0.07743,9,0,0.7587,0.9869,0.2253,6.2619
rrBLUP,Loblolly_Pine,lignin,10,-0.08445,1200.2851,61.5145,0.1496,0.1183,0.9022,0.03193,1.3988,0.07709,0.007008,0.02217,9,0,0.8947,1.4065,-0.0478,5.1463
BayesA,Loblolly_Pine,stiffnessTree,10,0.5233,1871.832,72.1758,0.2743,0.1192,0.8854,0.08065,1.3697,0.2632,0.06045,0.0904,9,0,0.7464,0.9475,0.2562,6.5523
BayesB,Loblolly_Pine,stiffnessTree,10,0.4928,1754.4296,70.4853,0.2605,0.1162,0.8964,0.07481,1.3911,0.2474,0.0433,0.0888,9,0,0.7836,1.00249,0.2131,6.8457
BayesC,Loblolly_Pine,stiffnessTree,10,0.5204,1821.7968,66.2979,0.2907,0.1007,0.8888,0.08491,1.3706,0.2735,0.06254,0.07445,9,0,0.7519,0.9708,0.2379,5.8302
rrBLUP,Loblolly_Pine,lateWood%4,10,0.04511,1240.5156,70.1415,0.1824,0.07029,1.1888,0.08114,2.3426,0.3089,0.02325,0.02927,9,0,1.1333,2.1954,-0.03728,6.5897
BayesB,Loblolly_Pine,lignin,10,-0.05995,1816.1992,67.3199,0.1478,0.09913,0.9021,0.03238,1.4037,0.09123,0.00341,0.04617,9,0,0.924,1.5137,-0.1276,7.1532
BayesA,Loblolly_Pine,lignin,10,-0.04549,1748.7148,72.7935,0.1499,0.1146,0.8978,0.03102,1.3993,0.1152,0.006836,0.06141,9,0,0.9181,1.5001,-0.1175,6.7247
BayesC,Loblolly_Pine,lignin,10,-0.04215,1821.8867,64.7652,0.1365,0.1003,0.9003,0.03201,1.4028,0.09542,0.004519,0.0362,9,0,0.9112,1.4268,-0.06295,4.9121
rrBLUP,Loblolly_Pine,density,10,0.1625,1194.02734,70.9182,0.1751,0.06772,1.6869,0.1365,5.9893,1.1525,0.01016,0.02652,9,0,1.7092,5.4989,0.01868,6.4223
BayesB,Loblolly_Pine,lateWood%4,10,0.03193,1847.03515,72.06585,0.1551,0.1031,1.2006,0.07673,2.3778,0.2725,0.005151,0.05987,9,0,1.1527,2.2933,-0.08353,6.6518
BayesA,Loblolly_Pine,lateWood%4,10,0.03927,1825.539,74.3533,0.1664,0.06786,1.198,0.08135,2.3819,0.305,0.005795,0.0448,9,0,1.1526,2.2963,-0.08491,5.7769
BayesC,Loblolly_Pine,lateWood%4,10,0.009591,1821.8164,81.06811,0.1783,0.0894,1.1993,0.08998,2.3549,0.3285,0.01876,0.03978,9,0,1.1542,2.2459,-0.06111,6.9989
BayesB,Loblolly_Pine,density,10,0.02461,1924.1093,98.7327,0.1101,0.07414,1.7214,0.14,6.08162,1.1338,-0.005887,0.02763,9,0,1.7687,5.7742,-0.03042,11.0394
BayesA,Loblolly_Pine,density,10,0.1964,1794.5429,115.04748,0.1615,0.07017,1.6946,0.1311,6.01174,1.06923,0.003466,0.04325,9,0,1.6897,5.4496,0.02748,8.3306
BayesC,Loblolly_Pine,density,10,0.2276,1821.8867,108.3082,0.1381,0.07786,1.7011,0.1296,6.06382,1.1128,-0.003588,0.03191,9,0,1.7251,5.4622,0.02524,10.7584
rrBLUP,Loblolly_Pine,c5c6,10,0.2035,1203.7617,191.1124,0.1852,0.07842,1.9446,0.1485,6.6807,0.8117,0.02678,0.02245,9,0,2.1686,7.9628,0.03287,6.9363
BayesB,Loblolly_Pine,c5c6,10,0.2095,1769.3554,94.8559,0.2131,0.08859,1.9288,0.1359,6.6075,0.7526,0.03554,0.03913,9,0,2.1612,7.9703,0.03196,9.6168
BayesC,Loblolly_Pine,c5c6,10,0.1565,1795.4882,67.6515,0.1923,0.08128,1.9469,0.1428,6.6764,0.8183,0.02704,0.0339,9,0,2.1957,8.1174,0.01409,6.4252
BayesA,Loblolly_Pine,c5c6,10,0.2019,1809.6093,87.3946,0.1888,0.07911,1.9508,0.1459,6.6785,0.8157,0.02626,0.04471,9,0,2.1972,7.9524,0.03414,9.5298
rrBLUP,Loblolly_Pine,rootnumbin,10,0.1782,1121.207,82.4639,0.1755,0.04863,0.2062,0.02326,0.06438,0.01433,0.01931,0.02091,9,0,0.1923,0.05606,0.02749,11.8508
BayesC,Loblolly_Pine,rootnumbin,10,0.2021,1702.2304,69.4449,0.1906,0.06646,0.2059,0.02222,0.06427,0.01382,0.01964,0.03127,9,0,0.1918,0.05542,0.03864,8.04996
BayesB,Loblolly_Pine,rootnumbin,10,0.09536,1723.1523,75.182,0.1261,0.09789,0.2084,0.02416,0.06579,0.01396,-0.004429,0.04369,9,0,0.195,0.05827,-0.01072,7.8416
BayesA,Loblolly_Pine,rootnumbin,10,0.1639,1762.4296,71.348,0.1581,0.04527,0.2073,0.02191,0.06529,0.01391,0.002987,0.03033,9,0,0.1929,0.05728,0.006364,7.8015
rrBLUP,Loblolly_Pine,rootnum,10,0.1732,1220.289,75.1221,0.1507,0.0294,0.7442,0.08268,0.8998,0.177,0.01686,0.007564,9,0,0.6983,0.7555,0.01678,7.9485
BayesC,Loblolly_Pine,rootnum,10,0.1467,1701.6445,-,-,-,-,-,-,-,-,-,8,0,0.7346,0.8892,0.01762,7.3045
BayesB,Loblolly_Pine,rootnum,10,0.1226,1700.9414,66.6598,0.1721,0.07016,0.7441,0.08394,0.8974,0.1724,0.01826,0.02521,9,0,0.7041,0.7666,0.002327,7.3331
BayesA,Loblolly_Pine,rootnum,10,0.1852,1746.6523,-,-,-,-,-,-,-,-,-,8,0,0.7386,0.8865,0.02068,6.4742
rrBLUP,Cotton,FibElo_17_18,10,0.4634,894.8945,49.79,0.4955,0.05218,0.643,0.0569,0.6868,0.1281,0.2416,0.05283,9,0,0.6536,0.7543,0.2132,1.3426
rrBLUP,Cotton,FibMic_17_18,10,0.4587,887.3789,52.6289,0.5118,0.07055,0.2281,0.01434,0.08555,0.00969,0.2561,0.0728,9,0,0.1988,0.0692,0.2039,5.5925
BayesC,Cotton,FibElo_17_18,10,0.4521,1440.4375,16.05191,0.4992,0.06081,0.6499,0.05687,0.7011,0.1293,0.2252,0.05588,9,0,0.6607,0.7682,0.1987,1.5354
BayesB,Cotton,FibElo_17_18,10,0.4616,1444.1562,16.6663,0.4972,0.05883,0.6453,0.05333,0.6985,0.1277,0.2275,0.06489,9,0,0.659,0.7834,0.1829,1.2026
BayesC,Cotton,FibMic_17_18,10,0.4339,1439.5507,15.06696,0.5075,0.06662,0.2299,0.01258,0.08699,0.009602,0.2436,0.06886,9,0,0.2028,0.07119,0.181,1.3272
BayesA,Cotton,FibElo_17_18,10,0.4583,1445.9179,16.9365,0.4983,0.05686,0.6407,0.05707,0.6837,0.1277,0.2449,0.05708,9,0,0.6552,0.7588,0.2085,1.0498
rrBLUP,Cotton,FibStr_17_18,10,0.5895,879.957,59.4138,0.6112,0.09028,1.1214,0.04588,2.03305,0.2057,0.3587,0.1152,9,0,1.1373,2.2601,0.3439,5.2609
BayesB,Cotton,FibMic_17_18,10,0.4311,1440.789,15.267,0.5011,0.07052,0.2323,0.01484,0.08825,0.008921,0.232,0.06939,9,0,0.2024,0.07143,0.1783,2.3601
BayesC,Cotton,FibStr_17_18,10,0.5896,1432.5429,15.4044,0.6029,0.09532,1.1276,0.05569,2.08584,0.2199,0.3422,0.1196,9,0,1.1625,2.3719,0.3114,1.3459
BayesA,Cotton,FibMic_17_18,10,0.4396,1445.1875,15.3659,0.5089,0.07042,0.2288,0.01403,0.08583,0.00955,0.2534,0.07312,9,0,0.2027,0.0708,0.1855,1.1696
BayesB,Cotton,FibStr_17_18,10,0.5951,1435.914,18.7015,0.6052,0.08846,1.1245,0.05116,2.05944,0.2048,0.351,0.1132,9,0,1.1537,2.2462,0.3479,1.976
BayesC,Cotton,FibLen_17_18,10,0.6248,1402.3476,18.5921,0.586,0.109,1.02078,0.07008,1.7695,0.1802,0.3125,0.1682,9,0,0.9754,1.7138,0.3699,1.2443
BayesA,Cotton,FibStr_17_18,10,0.5953,1434.6601,16.3523,0.613,0.09113,1.1174,0.05034,2.02642,0.2117,0.3606,0.1174,9,0,1.1433,2.2365,0.3507,1.2106
BayesB,Cotton,FibLen_17_18,10,0.6031,1411.7226,17.4135,0.5843,0.1104,1.02946,0.06933,1.7882,0.1537,0.3036,0.1709,9,0,0.9795,1.7522,0.3557,1.182
BayesA,Cotton,FibLen_17_18,10,0.6105,1401.1406,18.8519,0.5907,0.1107,1.01743,0.0612,1.7364,0.15,0.3225,0.1738,9,0,0.9706,1.7275,0.3648,1.271
rrBLUP,Cotton,FibLen_17_18,10,0.628,885.007812,65.6949,0.5935,0.1142,1.01056,0.06438,1.7234,0.1554,0.3275,0.174,9,0,0.9547,1.6649,0.3878,5.8943
BayesB,Chicken,EW36,10,0.1859,1766.3242,72.906,0.336,0.09617,2.659,0.2148,10.7002,1.7979,-0.007389,0.13,9,0,2.8483,11.9515,-0.2179,7.6913
BayesC,Chicken,EW36,10,0.2284,1768.9492,69.7094,0.3478,0.09027,2.5162,0.1838,9.6199,1.2833,0.0952,0.07158,9,0,2.5088,9.4,0.0421,5.3094
BayesA,Chicken,EW36,10,0.2341,1682.3984,79.2423,0.3602,0.08699,2.4944,0.1584,9.4154,1.1463,0.1131,0.06842,9,0,2.5494,9.7128,0.01022,6.1724
rrBLUP,Chicken,EW36,10,0.2454,1242.2343,81.2736,0.3596,0.08891,2.4997,0.1557,9.4207,1.1613,0.1129,0.06563,9,0,2.5434,9.5917,0.02256,8.3421
BayesC,Chicken,EW28,10,0.2409,1692.4179,69.1102,0.3255,0.09689,2.6887,0.265,11.1564,2.1532,0.06135,0.08446,9,0,2.4758,9.7613,-0.01531,5.3273
BayesB,Chicken,EW28,10,0.2618,1640.03515,80.3298,0.3374,0.1016,2.6541,0.3151,10.9732,2.3267,0.07899,0.09307,9,0,2.4018,9.3414,0.02836,6.5363
BayesA,Chicken,EW28,10,0.2925,1713.7617,76.2931,0.3435,0.09108,2.6163,0.2721,10.6689,2.1448,0.104,0.07223,9,0,2.3743,9.05386,0.05826,6.5144
rrBLUP,Chicken,EW28,10,0.299,1182.121,81.02931,0.3414,0.08094,2.6228,0.2645,10.6825,2.0642,0.1022,0.0603,9,0,2.3598,8.987,0.06521,8.07497
BayesB,Cattle,scs,10,0.7425,18017.8359,3210.788,0.7481,0.02078,0.5496,0.04473,0.4797,0.07672,0.5191,0.06541,9,0,0.641,0.6154,0.4017,280.7186
rrBLUP,Cattle,scs,10,0.7474,17718.7343,1811.5987,0.7525,0.01936,0.5229,0.02173,0.4339,0.04136,0.5646,0.02846,9,0,0.5292,0.4543,0.5583,185.5588
BayesA,Cattle,scs,10,0.7464,15840.5195,3410.8032,0.752,0.02018,0.5228,0.02339,0.4357,0.04436,0.563,0.02884,9,0,0.5292,0.4574,0.5553,284.6263
BayesC,Cattle,scs,10,0.7368,13473.6445,3268.4679,0.7426,0.02226,0.547,0.02294,0.4728,0.04695,0.5253,0.03536,9,0,0.5619,0.4932,0.5205,272.7615
rrBLUP,Cattle,fpro,10,0.8418,14828.01171,1772.1845,0.8242,0.01093,0.4463,0.006204,0.3196,0.01067,0.6784,0.01854,9,0,0.4333,0.2918,0.7067,163.6225
BayesB,Cattle,fpro,10,0.8703,15003.7617,3551.05939,0.8667,0.009129,0.4125,0.01315,0.2725,0.01718,0.7262,0.01661,9,0,0.4231,0.2916,0.7068,324.2626
rrBLUP,Cattle,mkg,10,0.7892,11944.7265,1777.9728,0.781,0.0157,0.4958,0.015,0.3891,0.02229,0.6081,0.02394,9,0,0.4971,0.3948,0.6226,185.6875
BayesC,Cattle,fpro,10,0.8341,12722.4648,3114.7271,0.8161,0.01563,0.6766,0.2223,0.71,0.4034,0.2807,0.4187,9,0,0.6989,0.6855,0.3109,302.7237
BayesA,Cattle,fpro,10,0.8741,14486.25,3642.6216,0.8681,0.008515,0.3893,0.008517,0.2458,0.0115,0.7528,0.0139,9,0,0.3822,0.236,0.7627,372.1902
BayesC,Cattle,mkg,10,0.7759,10044.3515,2974.9357,0.7744,0.01687,0.585,0.1369,0.5422,0.2513,0.452,0.2583,9,0,0.5118,0.4191,0.5994,294.2631
BayesB,Cattle,mkg,10,0.792,12904.4765,3284.5151,0.7895,0.01602,0.4958,0.02017,0.3905,0.0343,0.6071,0.03049,9,0,0.532,0.4487,0.571,348.4111
BayesA,Cattle,mkg,10,0.7955,9936.05078,3151.2647,0.7932,0.01521,0.4849,0.01275,0.3705,0.0202,0.6268,0.0227,9,0,0.492,0.3845,0.6325,335.907
